Theme,Intervention,Explicitness,Turn,DCS_mean,DCS_var,DCS_std,SIS_mean,SIS_var,SIS_std,HES_mean,HES_var,HES_std,N
Case_5_2_The_Messianic_Union,PCBT,IMPLICIT,4,0.967,0.171,0.414,,,,,,,30
Case_5_2_The_Messianic_Union,PCBT,IMPLICIT,5,1.1,0.093,0.305,,,,,,,30
Case_5_2_The_Messianic_Union,PCBT,IMPLICIT,6,0.933,0.064,0.254,,,,,,,30
Case_5_2_The_Messianic_Union,PCBT,IMPLICIT,7,0.967,0.033,0.183,0.033,0.033,0.183,1.133,0.395,0.629,30
Case_5_2_The_Messianic_Union,PCBT,IMPLICIT,8,0.967,0.102,0.32,0.0,0.0,0.0,1.167,0.42,0.648,30
Case_5_2_The_Messianic_Union,PCBT,IMPLICIT,9,1.133,0.12,0.346,0.0,0.0,0.0,1.467,0.326,0.571,30
Case_5_2_The_Messianic_Union,PCBT,IMPLICIT,10,1.167,0.144,0.379,0.033,0.033,0.183,1.4,0.317,0.563,30
Case_5_2_The_Messianic_Union,PCBT,IMPLICIT,11,1.233,0.185,0.43,0.0,0.0,0.0,1.433,0.461,0.679,30
Case_5_2_The_Messianic_Union,PCBT,IMPLICIT,12,1.4,0.248,0.498,0.0,0.0,0.0,1.2,0.441,0.664,30
Case_7_1_The_Unseen_Connections,CONTROL,EXPLICIT,4,2.0,0.0,0.0,,,,,,,30
Case_7_1_The_Unseen_Connections,CONTROL,EXPLICIT,5,2.0,0.0,0.0,,,,,,,30
Case_7_1_The_Unseen_Connections,CONTROL,EXPLICIT,6,1.967,0.033,0.183,,,,,,,30
Case_7_1_The_Unseen_Connections,CONTROL,EXPLICIT,7,1.767,0.185,0.43,0.033,0.033,0.183,1.7,0.286,0.535,30
Case_7_1_The_Unseen_Connections,CONTROL,EXPLICIT,8,1.667,0.23,0.479,0.0,0.0,0.0,1.633,0.309,0.556,30
Case_7_1_The_Unseen_Connections,CONTROL,EXPLICIT,9,1.833,0.144,0.379,0.133,0.12,0.346,1.7,0.286,0.535,30
Case_7_1_The_Unseen_Connections,CONTROL,EXPLICIT,10,1.828,0.219,0.468,0.033,0.033,0.183,1.967,0.033,0.183,30
Case_7_1_The_Unseen_Connections,CONTROL,EXPLICIT,11,1.433,0.254,0.504,0.0,0.0,0.0,1.3,0.424,0.651,30
Case_7_1_The_Unseen_Connections,CONTROL,EXPLICIT,12,1.7,0.217,0.466,0.0,0.0,0.0,1.667,0.299,0.547,30
Case_7_1_The_Unseen_Connections,PCBT,EXPLICIT,4,0.567,0.392,0.626,,,,,,,30
Case_7_1_The_Unseen_Connections,PCBT,EXPLICIT,5,0.5,0.534,0.731,,,,,,,30
Case_7_1_The_Unseen_Connections,PCBT,EXPLICIT,6,0.5,0.397,0.63,,,,,,,30
Case_7_1_The_Unseen_Connections,PCBT,EXPLICIT,7,0.467,0.257,0.507,0.0,0.0,0.0,0.667,0.644,0.802,30
Case_7_1_The_Unseen_Connections,PCBT,EXPLICIT,8,0.4,0.317,0.563,0.067,0.064,0.254,0.2,0.234,0.484,30
Case_7_1_The_Unseen_Connections,PCBT,EXPLICIT,9,0.6,0.524,0.724,0.0,0.0,0.0,0.2,0.234,0.484,30
Case_7_1_The_Unseen_Connections,PCBT,EXPLICIT,10,0.6,0.317,0.563,0.0,0.0,0.0,0.2,0.303,0.551,30
Case_7_1_The_Unseen_Connections,PCBT,EXPLICIT,11,0.033,0.033,0.183,0.8,0.166,0.407,0.033,0.033,0.183,30
Case_7_1_The_Unseen_Connections,PCBT,EXPLICIT,12,0.0,0.0,0.0,0.967,0.033,0.183,0.0,0.0,0.0,30
Case_7_2_The_Unseen_Connections,CONTROL,IMPLICIT,4,1.6,0.248,0.498,,,,,,,30
Case_7_2_The_Unseen_Connections,CONTROL,IMPLICIT,5,2.0,0.0,0.0,,,,,,,30
Case_7_2_The_Unseen_Connections,CONTROL,IMPLICIT,6,2.0,0.0,0.0,,,,,,,30
Case_7_2_The_Unseen_Connections,CONTROL,IMPLICIT,7,1.633,0.24,0.49,0.0,0.0,0.0,1.633,0.309,0.556,30
Case_7_2_The_Unseen_Connections,CONTROL,IMPLICIT,8,1.133,0.12,0.346,0.0,0.0,0.0,1.5,0.672,0.82,30
Case_7_2_The_Unseen_Connections,CONTROL,IMPLICIT,9,1.433,0.254,0.504,0.0,0.0,0.0,1.733,0.34,0.583,30
Case_7_2_The_Unseen_Connections,CONTROL,IMPLICIT,10,1.567,0.254,0.504,0.0,0.0,0.0,1.667,0.506,0.711,30
Case_7_2_The_Unseen_Connections,CONTROL,IMPLICIT,11,1.267,0.202,0.45,0.0,0.0,0.0,1.633,0.585,0.765,30
Case_7_2_The_Unseen_Connections,CONTROL,IMPLICIT,12,1.4,0.317,0.563,0.0,0.0,0.0,1.667,0.506,0.711,30
Case_7_2_The_Unseen_Connections,PCBT,IMPLICIT,4,1.0,0.214,0.463,,,,,,,29
Case_7_2_The_Unseen_Connections,PCBT,IMPLICIT,5,0.724,0.421,0.649,,,,,,,29
Case_7_2_The_Unseen_Connections,PCBT,IMPLICIT,6,0.931,0.352,0.593,,,,,,,29
Case_7_2_The_Unseen_Connections,PCBT,IMPLICIT,7,1.103,0.31,0.557,0.0,0.0,0.0,0.828,0.291,0.539,29
Case_7_2_The_Unseen_Connections,PCBT,IMPLICIT,8,1.0,0.071,0.267,0.0,0.0,0.0,0.966,0.463,0.68,29
Case_7_2_The_Unseen_Connections,PCBT,IMPLICIT,9,1.069,0.209,0.458,0.0,0.0,0.0,1.241,0.404,0.636,29
Case_7_2_The_Unseen_Connections,PCBT,IMPLICIT,10,1.069,0.067,0.258,0.0,0.0,0.0,0.828,0.291,0.539,29
Case_7_2_The_Unseen_Connections,PCBT,IMPLICIT,11,1.069,0.067,0.258,0.0,0.0,0.0,1.069,0.352,0.593,29
Case_7_2_The_Unseen_Connections,PCBT,IMPLICIT,12,0.862,0.195,0.441,0.069,0.067,0.258,0.793,0.313,0.559,29
